ic_id,dynamics,integrator,status,t_final_reached,success,residual_success,distance_success,residual_norm,nearest_eq_distance,energy_initial,energy_final,energy_drop,y0_1,y0_2,yT_1,yT_2
0,original,fixed_rk4,event_converged,6.810000000000012,True,False,True,0.004063962558977842,0.004908027587506147,-0.4306168834567709,-0.5962045990380959,0.16558771558132496,-0.7155909287091426,1.3428351054720267,-0.31499336687260987,0.15325325528189215
0,modified,fixed_rk4,event_converged,7.980000000000022,True,False,True,0.0042511269090583425,0.004995784865556969,0.5813179084751459,9.03603999845997e-06,0.5813088724351474,-0.7155909287091426,1.3428351054720267,-0.3144367149798139,0.15324728189681266
1,original,fixed_rk4,event_converged,7.650000000000019,True,False,True,0.004137060238261034,0.004972006181997917,-0.23816638561494152,-0.5962046548991835,0.358038269284242,-1.0668640425241283,2.791343738367649,-0.31487935196491923,0.1533035065487895
1,modified,fixed_rk4,event_converged,8.850000000000003,True,False,True,0.00424779844259651,0.004982280743530944,3.1049503108678347,9.02189580446267e-06,3.10494128897203,-1.0668640425241283,2.791343738367649,-0.31440511089744005,0.15322608987421021
2,original,fixed_rk4,event_converged,6.9900000000000135,True,False,True,0.003947172174290443,0.00491296995238432,-0.20953358619996343,-0.5962036866516297,0.3866701004516663,1.4420798027558854,-0.2508120454072187,-0.31519721698302944,0.1434762386703797
2,modified,fixed_rk4,event_converged,8.52000000000001,True,False,True,0.004149533463331396,0.004909157884214383,1.732206134326767,8.609313981653525e-06,1.7321975250127852,1.4420798027558854,-0.2508120454072187,-0.31652129921951977,0.14356495859129878
3,original,fixed_rk4,event_converged,7.3500000000000165,True,False,True,0.004396897037378843,0.0049962077597534215,-0.3282050548807425,-0.5962055697705916,0.2680005148898491,-1.7546863904034076,-2.9825003566875425,-0.3172264442334516,0.14367082390116817
3,modified,fixed_rk4,event_converged,8.430000000000012,True,False,True,0.004275641485457496,0.004924317454876145,4.885694223012513,9.140555056082592e-06,4.885685082457457,-1.7546863904034076,-2.9825003566875425,-0.3169882895958834,0.14366768595181245
4,original,fixed_rk4,event_converged,7.77000000000002,True,False,True,0.00403312353747201,0.004921654524397093,0.08910218612840423,-0.596204345258668,0.6853065313870722,1.7055890902114559,-1.6009902414718806,-0.31586208416173966,0.14346504509508903
4,modified,fixed_rk4,event_converged,9.209999999999996,True,False,True,0.00423079714096077,0.004972902711838834,3.137641905072086,8.94982222398091e-06,3.1376329552498623,1.7055890902114559,-1.6009902414718806,-0.31665327194396525,0.14352814581007362
5,original,fixed_rk4,event_converged,6.210000000000007,True,False,True,0.004482541531898237,0.004882163465089487,-0.4428248484873356,-0.5962016696666386,0.15337682117930296,-2.9072298383478437,-0.9331269034614764,-0.31926037553373054,0.15154745933362357
5,modified,fixed_rk4,event_converged,7.620000000000019,True,False,True,0.004049917904672366,0.00495146022010915,4.352377491447507,8.200917517292902e-06,4.35236929052999,-2.9072298383478437,-0.9331269034614764,-0.3152876553371852,0.15332127877001228
6,original,fixed_rk4,event_converged,7.140000000000015,True,False,True,0.004399304841069611,0.004901417206380681,-0.4508259091196372,-0.5962058391992484,0.1453799300796112,-1.9783596555362528,-2.70571340621307,-0.3174919811397963,0.14387723592905838
6,modified,fixed_rk4,event_converged,8.04000000000002,True,False,True,0.00434300221263559,0.004958006956697109,4.713262837210133,9.430834109478816e-06,4.713253406376023,-1.9783596555362528,-2.70571340621307,-0.3171401704064035,0.14368125798501366
7,original,fixed_rk4,event_converged,5.910000000000005,True,False,True,0.004881165723415146,0.004879820928830332,-0.5962063415400474,-0.5962065068169383,1.6527689095102716e-07,-1.5898425640531841,-1.1246460315253142,-0.3190024597101894,0.14493000673005152
7,modified,fixed_rk4,event_converged,5.910000000000005,True,False,True,0.0048726017696949534,0.0048698913862696485,1.622602731597364,1.1871124003017195e-05,1.622590860473361,-1.5898425640531841,-1.1246460315253142,-0.31899938707514097,0.1449409900783709
8,original,fixed_rk4,event_converged,7.80000000000002,True,False,True,0.004091836322141623,0.004961578935187753,0.08758390950719286,-0.5962044675741418,0.6837883770813347,1.303000313588928,-1.9906677325430855,-0.31602134391560804,0.1434377185559259
8,modified,fixed_rk4,event_converged,9.239999999999995,True,False,True,0.004174865769756527,0.004898770089214342,2.928694467814365,8.714752097742376e-06,2.9286857530622674,1.303000313588928,-1.9906677325430855,-0.3166670180495753,0.14360741442501201
9,original,fixed_rk4,event_converged,6.660000000000011,True,False,True,0.004873546827471441,0.0049204454029359536,-0.5954966183862779,-0.5962064995918535,0.0007098812055755799,-2.8770578316990063,-2.496028162402583,-0.31889175442887036,0.14476693132813748
9,modified,fixed_rk4,event_converged,6.7500000000000115,True,False,True,0.0047958973411038166,0.004894756841521938,6.723522007653042,1.150031565320333e-05,6.723510507337388,-2.8770578316990063,-2.496028162402583,-0.31872317576180687,0.14465148248518755
10,original,fixed_rk4,event_converged,5.760000000000003,True,False,True,0.005296905311610026,0.004911077200316125,-0.5620854571658661,-0.5962046800786669,0.034119222912800784,-2.143085435156574,-1.0638814079837948,-0.32041720472037266,0.1477365981803679
10,modified,fixed_rk4,event_converged,6.030000000000006,True,False,True,0.004074340187974594,0.004908684943409083,2.594864686843931,8.300123983672426e-06,2.5948563867199472,-2.143085435156574,-1.0638814079837948,-0.31792722565233267,0.15267021651125873
11,original,fixed_rk4,event_converged,7.1100000000000145,True,False,True,0.004195847778862605,0.004976669340155582,-0.30161533088189685,-0.5962049121027939,0.29458958122089707,-0.28357620868783107,-1.6146151601482148,-0.3164862793574264,0.14348924577900124
11,modified,fixed_rk4,event_converged,8.400000000000013,True,False,True,0.004195460231741205,0.0048972206179930524,1.0393365529408165,8.800943278060983e-06,1.0393277519975384,-0.28357620868783107,-1.6146151601482148,-0.3167574989819227,0.14363115245734245
12,original,fixed_rk4,event_converged,7.440000000000017,True,False,True,0.004075930348613824,0.004976013433455682,-0.2605402543069689,-0.5962042827698253,0.33566402846285637,-1.6939746759293535,1.8502612991110867,-0.31524763759106894,0.15334360744775893
12,modified,fixed_rk4,event_converged,8.730000000000006,True,False,True,0.004156395196854552,0.004898194494852846,2.0632319915870054,8.637810516217795e-06,2.0632233537764892,-1.6939746759293535,1.8502612991110867,-0.31450873610864744,0.15316333802532492
13,original,fixed_rk4,event_converged,7.020000000000014,True,False,True,0.0039361851825405235,0.004889486360680349,-0.33438901574686286,-0.5962037984566948,0.26181478270983194,-1.9512305731727184,0.8340795018012894,-0.31581569080593996,0.15325882255234277
13,modified,fixed_rk4,event_converged,8.340000000000014,True,False,True,0.0042081510747274285,0.004991913892718434,1.5501993006439383,8.854267733864804e-06,1.5501904463762044,-1.9512305731727184,0.8340795018012894,-0.31461260545545655,0.15328015809137024
14,original,fixed_rk4,event_converged,5.670000000000003,True,False,True,0.00474725052073735,0.004875533231816013,-0.5953145922604516,-0.5962064557867598,0.000891863526308212,0.5335303971143794,1.0915384516046576,-0.3124720077096273,0.15215939128585482
14,modified,fixed_rk4,event_converged,5.850000000000004,True,False,True,0.004675900456317948,0.004901288024470252,0.7844263159822514,1.0932022538697198e-05,0.7844153839597128,0.5335303971143794,1.0915384516046576,-0.31273900292268436,0.152393142671287
15,original,fixed_rk4,event_converged,7.380000000000017,True,False,True,0.004302260151256366,0.004984157962519745,-0.2560380117053225,-0.5962053004525447,0.34016728874722224,-1.1231444328658589,-2.631543779959462,-0.3169080851072534,0.14358166644330597
15,modified,fixed_rk4,event_converged,8.55000000000001,True,False,True,0.004305968544298445,0.0049919842718998434,3.2068708431525472,9.270682552243835e-06,3.206861572469995,-1.1231444328658589,-2.631543779959462,-0.3168982750339651,0.14357076488088272
16,original,fixed_rk4,event_converged,3.629999999999991,True,False,True,0.0039792295971951925,0.004981154644352863,-0.5944116035651799,-0.5962031171036106,0.0017915135384307668,-0.2502715704347005,0.08221062875306906,-0.3146994425771748,0.1434683263700087
16,modified,fixed_rk4,event_converged,4.559999999999993,True,False,True,0.004125703675994629,0.0049947791061706595,0.003449214038287912,8.510715411057795e-06,0.003440703322876854,-0.2502715704347005,0.08221062875306906,-0.31606134618011444,0.14340833770820036
17,original,fixed_rk4,event_converged,7.9500000000000215,True,False,True,0.004042580132437006,0.004927801015359452,-0.17846178151580355,-0.5962043647036872,0.41774258318788365,-2.5085139338871283,2.838945795781184,-0.31521148768206253,0.15329296501974232
17,modified,fixed_rk4,event_converged,9.209999999999996,True,False,True,0.004207189563766577,0.00495583186166222,5.436487504147649,8.850222012733201e-06,5.436478653925636,-2.5085139338871283,2.838945795781184,-0.3144883351483598,0.15321788161531405
18,original,fixed_rk4,event_converged,6.480000000000009,True,False,True,0.004442534102684631,0.004940653874491404,-0.5481373423511202,-0.5962058485923889,0.04806850624126868,-1.2289091971798356,-1.436666012972839,-0.31753435783573264,0.1438528968220642
18,modified,fixed_rk4,event_converged,7.290000000000016,True,False,True,0.004346920971029695,0.004950315268815572,1.4370163962273768,9.447860964188873e-06,1.4370069483664125,-1.2289091971798356,-1.436666012972839,-0.3171764642493795,0.14370186580797364
19,original,fixed_rk4,event_converged,7.530000000000018,True,False,True,0.003978554973544772,0.004935836977681098,0.041301190501517177,-0.5962038099697394,0.6375050004712566,2.4564719777013373,-0.4865337527390561,-0.3153444783249473,0.1434450300213087
19,modified,fixed_rk4,event_converged,9.059999999999999,True,False,True,0.004204629407476623,0.004965688602577962,4.218956977497599,8.83945422710861e-06,4.2189481380433715,2.4564719777013373,-0.4865337527390561,-0.3165649305575848,0.14351622104123962
20,original,fixed_rk4,event_converged,7.320000000000016,True,False,True,0.003966309824235277,0.00490330677826416,-0.2706899297515047,-0.5962039730204617,0.325514043268957,-2.2077067389022087,1.2117927595309173,-0.31562637866805804,0.1532793491344898
20,modified,fixed_rk4,event_converged,8.640000000000008,True,False,True,0.004171427248294542,0.004937359987290962,2.246974812610035,8.700402643907087e-06,2.246966112207391,-2.2077067389022087,1.2117927595309173,-0.31458085173897227,0.15321837435778096
21,original,fixed_rk4,event_converged,6.930000000000013,True,False,True,0.0039875087859751294,0.004984294896934844,-0.33212052441517964,-0.5962032936556438,0.2640827692404642,-2.319628134991728,0.48520955606232974,-0.31621846241582435,0.15331566628770346
21,modified,fixed_rk4,event_converged,8.340000000000014,True,False,True,0.004139387305048029,0.004927460789155087,2.162203315010582,8.56726363059639e-06,2.1621947477469514,-2.319628134991728,0.48520955606232974,-0.3146915420491763,0.15322912366178854
22,original,fixed_rk4,event_converged,6.960000000000013,True,False,True,0.003984800991314861,0.004884229543709918,-0.3755127026898722,-0.5962042578636375,0.22069155517376532,-1.2644874734482807,1.1906926628344614,-0.31536003114006866,0.15325727913280232
22,modified,fixed_rk4,event_converged,8.220000000000017,True,False,True,0.004179590462560908,0.004933658639444413,0.8341957138570084,8.734488217365052e-06,0.834186979368791,-1.2644874734482807,1.1906926628344614,-0.31453139597754864,0.1532044495511772
23,original,fixed_rk4,event_converged,7.320000000000016,True,False,True,0.004164019626762532,0.004940607501631882,-0.33757848300734655,-0.5962049276186686,0.25862644461132206,-0.33885029581040316,2.4192777568808816,-0.31462622914216754,0.15323052369376117
23,modified,fixed_rk4,event_converged,8.460000000000012,True,False,True,0.00423163989683141,0.0049441663734162925,2.0201389651829857,8.953388108227675e-06,2.0201300117948775,-0.33885029581040316,2.4192777568808816,-0.31434584885388667,0.1531724555561559
24,original,fixed_rk4,event_converged,6.030000000000006,True,False,True,0.004390342319607704,0.0049365953952402505,-0.43763508015848357,-0.5962015242279116,0.15856644406942805,1.7395627416716088,0.9543717527488234,-0.31214815700604587,0.14479743313935622
24,modified,fixed_rk4,event_converged,7.620000000000019,True,False,True,0.004081978757221238,0.004947902488732518,2.803110434622128,8.331275287202722e-06,2.803102103346841,1.7395627416716088,0.9543717527488234,-0.3160281689813037,0.14345211852021045
25,original,fixed_rk4,event_converged,7.3500000000000165,True,False,True,0.004269351779651232,0.004902563273726437,-0.3043755813438692,-0.5962054651630887,0.2918298838192195,-1.384707227327422,-2.705041407714938,-0.3170294909320518,0.1437033012944358
25,modified,fixed_rk4,event_converged,8.460000000000012,True,False,True,0.004278985406718889,0.004946485665096194,3.674691023267856,9.154858055456609e-06,3.6746818684098,-1.384707227327422,-2.705041407714938,-0.316933773442108,0.14362825835470916
26,original,fixed_rk4,event_converged,6.810000000000012,True,False,True,0.004004922836170846,0.004980654621784569,-0.3777563324895582,-0.5962036408376744,0.2184473083481162,-1.7119753464561216,0.7262527458489636,-0.31587577475371453,0.15334652724160094
26,modified,fixed_rk4,event_converged,8.160000000000018,True,False,True,0.004178858883230027,0.004960077111298557,1.1285861320239055,8.731430782975253e-06,1.1285774005931224,-1.7119753464561216,0.7262527458489636,-0.3146297991713247,0.15325101374661498
27,original,fixed_rk4,event_converged,7.680000000000019,True,False,True,0.004010576974103124,0.004961330936621041,0.09696944416457323,-0.5962038944437832,0.6931733386083564,2.645435784890349,-0.7298287695967174,-0.31545432245061966,0.14341622241175303
27,modified,fixed_rk4,event_converged,9.209999999999996,True,False,True,0.004186520821726604,0.004939163273389555,4.8642430545085755,8.763478295375201e-06,4.8642342910302805,2.645435784890349,-0.7298287695967174,-0.3165785795301405,0.1435462157157185
28,original,fixed_rk4,event_converged,7.380000000000017,True,False,True,0.004239290317032582,0.004902480835375294,-0.27001360352720927,-0.5962053656164052,0.326191762089196,-1.171803601035901,-2.625608087110171,-0.3169151272327057,0.14366866177231186
28,modified,fixed_rk4,event_converged,8.52000000000001,True,False,True,0.00430662168372447,0.004989943042768916,3.245736584669458,9.273495163362896e-06,3.245727311174295,-1.171803601035901,-2.625608087110171,-0.31690719031960624,0.14357540003829858
29,original,fixed_rk4,event_converged,7.920000000000021,True,False,True,0.00410411879910748,0.0049891958485613255,0.140132610332697,-0.5962043829489564,0.7363369932816534,1.7500316908698412,-2.0712582270635385,-0.3159626442540622,0.1434047313682638
29,modified,fixed_rk4,event_converged,9.359999999999992,True,False,True,0.004236232284761111,0.004974117942251995,3.9354024543941057,8.972831985226172e-06,3.9353934815621203,1.7500316908698412,-2.0712582270635385,-0.3166722289000501,0.14353125868331698
30,original,fixed_rk4,event_converged,5.279999999999999,True,False,True,0.004697647936691413,0.0049258110199874175,-0.594817372797222,-0.5962063543153885,0.0013889815181664655,-0.8207764829180197,-0.472587831390328,-0.3183663806683034,0.14433681208195837
30,modified,fixed_rk4,event_converged,5.580000000000002,True,False,True,0.004583715073664694,0.004936262464172995,0.3036301090910924,1.0505221938270466e-05,0.3036196038691541,-0.8207764829180197,-0.472587831390328,-0.3179975773967024,0.1440910716456618
31,original,fixed_rk4,event_converged,7.80000000000002,True,False,True,0.004111092819532985,0.004929532014467722,0.0531378749974116,-0.5962047348518668,0.6493426098492784,0.5309581532986325,-2.4948514616034423,-0.3162626803677833,0.14349921613806335
31,modified,fixed_rk4,event_converged,9.179999999999996,True,False,True,0.004183154642327231,0.0048949192216708026,2.863120366417375,8.749391380811932e-06,2.8631116170259943,0.5309581532986325,-2.4948514616034423,-0.3167144600409196,0.14362276019067916
32,original,fixed_rk4,event_converged,7.77000000000002,True,False,True,0.004040454857874161,0.004943163721051881,0.09810211212769113,-0.596204258937867,0.6943063710655581,1.913894914058992,-1.4715162119070286,-0.3157965028061177,0.14343975430466951
32,modified,fixed_rk4,event_converged,9.239999999999995,True,False,True,0.00419183024749064,0.004930061435053129,3.448796740376611,8.785720411888718e-06,3.448787954656199,1.913894914058992,-1.4715162119070286,-0.3166329862541217,0.14356747450716129
33,original,fixed_rk4,event_converged,3.929999999999989,True,False,True,0.00416684508950848,0.0049184309565702385,-0.5919547111385925,-0.5962017433848169,0.004247032246224358,-0.11951788668514185,0.14282585366229128,-0.3128097487432829,0.14429098011244856
33,modified,fixed_rk4,event_converged,5.009999999999997,True,False,True,0.004046711659368304,0.004980858397025155,0.02199839906526896,8.187937627033684e-06,0.021990211127641924,-0.11951788668514185,0.14282585366229128,-0.3156232158867615,0.14339637785663306
34,original,fixed_rk4,event_converged,7.440000000000017,True,False,True,0.004064986427034098,0.004999878907132797,-0.02681259981721948,-0.5962040494433256,0.5693914496261061,1.5987144784480805,-0.9306446496244858,-0.31564499344250085,0.14337773020806677
34,modified,fixed_rk4,event_converged,8.940000000000001,True,False,True,0.004189140127672018,0.004934556355696731,2.279902313294125,8.774447504635966e-06,2.2798935388466206,1.5987144784480805,-0.9306446496244858,-0.31660597487423925,0.1435568582389001
35,original,fixed_rk4,event_converged,7.650000000000019,True,False,True,0.004091728107007116,0.004918657424430963,-0.24043324558295276,-0.5962046896796396,0.3557714440966868,-1.0728435559756933,2.750565999079905,-0.3148913734970724,0.15325129779633176
35,modified,fixed_rk4,event_converged,8.850000000000003,True,False,True,0.004211145899258005,0.004939569015356666,3.016221364761268,8.866874892418755e-06,3.0162124978863756,-1.0728435559756933,2.750565999079905,-0.3144158975668503,0.15318475005690305
36,original,fixed_rk4,event_converged,6.690000000000011,True,False,True,0.004880842298876771,0.004930454581402666,-0.59538642139073,-0.5962064987467984,0.0008200773560684826,2.320474089789551,2.874586056075258,-0.3122050557001816,0.1520007535775102
36,modified,fixed_rk4,event_converged,6.780000000000012,True,False,True,0.004820738821264977,0.004925099290983457,7.131521791702594,1.1619761391425621e-05,7.131510171941203,2.320474089789551,2.874586056075258,-0.3123673975505827,0.15213702266928095
37,original,fixed_rk4,event_converged,6.240000000000007,True,False,True,0.004777969869909984,0.00488289358640479,-0.5945932558474232,-0.5962064721413889,0.0016132162939657135,1.2327410260264573,1.8235391971689099,-0.3123988851731189,0.15210837307609157
37,modified,fixed_rk4,event_converged,6.390000000000009,True,False,True,0.004782430473169869,0.00498398179030119,2.551668105840295,1.1435820615351887e-05,2.5516566700196797,1.2327410260264573,1.8235391971689099,-0.3126098401933544,0.1524024842061153
38,original,fixed_rk4,event_converged,6.840000000000012,True,False,True,0.004632147355706841,0.004886475233074206,-0.5707351073117174,-0.5962063199778698,0.025471212666152376,-2.5495797903706223,-2.5748022995714104,-0.3182604939658207,0.14431217488412068
38,modified,fixed_rk4,event_converged,7.290000000000016,True,False,True,0.0045680088531400345,0.004997274014770135,5.883741701273259,1.0433352441182868e-05,5.883731267920817,-2.5495797903706223,-2.5748022995714104,-0.31780048701496855,0.1439158248786951
39,original,fixed_rk4,event_converged,4.799999999999995,True,False,True,0.0041178764364083595,0.004933086598897397,-0.5773758542874003,-0.5962018420916138,0.018825987804213407,0.14346100004527074,0.18631866982411704,-0.3130474564609743,0.1441243115149624
